timeout,mean_wait,p95_wait,total_wait,energy_waste
300,56.59,187.14999999999995,11318.0,40793233.0
600,31.54,165.09999999999997,6308.0,50471781.0
900,26.22,141.49999999999983,5244.0,54524056.0
1200,20.655,136.24999999999991,4131.0,54777771.0
1500,15.175,120.0,3035.0,58179304.0
1800,11.58,120.0,2316.0,64566070.0
2100,9.38,120.0,1876.0,71418364.0
2400,7.06,52.34999999999988,1412.0,73578961.0
2700,7.06,52.34999999999988,1412.0,74559257.0
3000,7.06,52.34999999999988,1412.0,75536657.0
3300,6.46,42.49999999999983,1292.0,76427177.0
3600,6.46,42.49999999999983,1292.0,77350277.0
